game_id,season,week,spread_close,total_close,home_score,away_score,home_epa_mean,away_epa_mean,epa_gap,market_prob,p_hat,edge,action,r,b_prob,pi_prob
2022_12_CIN_TEN,2022,12,-1.0,43.0,16,20,,,0.0,0.5,0.45319736315029013,-0.04680263684970987,0,-0.0,0.46561131798742145,0.45747316272406335
2022_12_ATL_WAS,2022,12,3.5,40.5,19,13,,,0.0,0.6297217024951263,0.618483719195863,-0.011237983299263288,0,0.0,0.5181860626191592,0.5275391600594873
2022_12_LAC_ARI,2022,12,-2.5,48.5,24,25,,,0.0,0.43762053107847504,0.39067237267386207,-0.04694815840461297,0,-0.0,0.4653992692393225,0.45719211665076
2022_12_LV_SEA,2022,12,4.0,47.5,34,40,,,0.0,0.644674925573802,0.6238772069673012,-0.020797718606500815,0,-0.0,0.5039344270682561,0.5085002547062972
2022_12_LA_KC,2022,12,16.5,42.0,26,10,,,0.0,0.8882601694532649,0.9136738579563496,0.025413688503084675,0,0.0,0.05,0.05
2022_12_NO_SF,2022,12,9.5,44.0,13,0,,,0.0,0.7728364052746279,0.7907002997523949,0.01786389447776693,0,0.0,0.05,0.05
2022_12_GB_PHI,2022,12,6.5,46.0,40,33,,,0.0,0.7149278269657159,0.7067260111724842,-0.008201815793231648,0,0.0,0.5227243806597661,0.5336022510474572
2022_12_PIT_IND,2022,12,2.5,40.0,17,24,,,0.0,0.5480494766888678,0.5845598264979271,0.03651034980905932,1,-1.0,0.5896818948262181,0.6225059598475453
2022_13_BUF_NE,2022,13,-3.5,43.5,10,24,,,0.0,0.3676233473073202,0.3648986223184339,-0.002724724988886318,0,-0.0,0.5309221787802789,0.5445507657848007
2022_13_PIT_ATL,2022,13,-1.0,43.0,16,19,,,0.0,0.4814756210583422,0.45319736315029013,-0.02827825790805205,0,-0.0,0.49283367708329856,0.4936834613040971
2022_13_DEN_BAL,2022,13,9.5,40.5,10,9,,,0.0,0.7536076905268496,0.7947791184695442,0.04117142794269457,0,0.0,0.05,0.05
2022_13_GB_CHI,2022,13,-4.0,45.0,19,28,,,0.0,0.3707306812504931,0.34583987971273744,-0.024890801537755636,0,-0.0,0.4978541009867383,0.500382239520465
2022_13_JAX_DET,2022,13,1.0,51.5,40,14,,,0.0,0.5284039285250725,0.5105573858071425,-0.01784654271792996,0,0.0,0.5083270841295561,0.5143674217103746
2022_13_CLE_HOU,2022,13,-7.5,47.0,14,27,,,0.0,0.25547879942829915,0.2387465222386243,-0.01673227718967485,0,-0.0,0.5099873283810427,0.5165853244690967
2022_13_NYJ_MIN,2022,13,3.0,44.0,27,22,,,0.0,0.5792858120125872,0.5952519815117446,0.015966169499157412,1,0.9099999999999999,0.5589482987202729,0.5818889955980059
2022_13_WAS_NYG,2022,13,-2.5,40.0,20,20,,,0.0,0.45890354830779323,0.4051152309447676,-0.05378831736302564,0,-0.0,0.45546864646733687,0.44405313528450796
2022_13_TEN_PHI,2022,13,5.0,44.5,35,10,,,0.0,0.6629225583423973,0.6620538388989379,-0.0008687194434594536,0,0.0,0.5337026959812229,0.5482625681061088
2022_13_SEA_LA,2022,13,-7.0,41.0,23,27,,,0.0,0.27608744647284206,0.26029531695559643,-0.015792129517245623,0,-0.0,0.511388831365446,0.5184576838410143
2022_13_MIA_SF,2022,13,4.5,46.0,33,17,,,0.0,0.6711332625214478,0.6431928337786896,-0.02794042874275815,0,0.0,0.4933338544869819,0.494350649232998
2022_13_KC_CIN,2022,13,-2.5,53.0,27,24,,,0.0,0.444104134762634,0.3831012997722204,-0.06100283499041359,0,0.0,0.44507783280060986,0.43035948423457915
2022_13_LAC_LV,2022,13,2.5,49.0,27,20,,,0.0,0.5668328047122791,0.5689781793436072,0.002145374631328023,1,0.9099999999999999,0.5382202421277114,0.5542906439391388
2022_13_IND_DAL,2022,13,11.0,44.5,54,19,,,0.0,0.7963340122199594,0.8239468821543682,0.027612869934408812,0,0.0,0.05,0.05
2022_13_NO_TB,2022,13,3.5,41.0,17,16,,,0.0,0.637997753089502,0.617646528524696,-0.02035122456480598,0,0.0,0.5045985648322394,0.5093872216068756
2022_14_LV_LA,2022,14,-6.5,42.5,17,16,,,0.0,0.2817523080884246,0.27239560162134385,-0.009356706467080755,0,-0.0,0.5209975330872655,0.5312953198850815
2022_14_NYJ_BUF,2022,14,10.0,43.5,20,12,,,0.0,0.77540859400368,0.8030188244503428,0.027610230446662776,0,0.0,0.05,0.05
2022_14_CLE_CIN,2022,14,4.5,47.0,23,10,,,0.0,0.6534585746204004,0.6415633680913866,-0.011895206529013769,0,0.0,0.5172043433651703,0.5262275240151726
